pclass,sex,agec,survived
159,1.0,female,kid,1.0
160,1.0,female,adult,1.0
161,1.0,female,adult,1.0
162,1.0,male,adult,0.0
163,1.0,female,adult,1.0
165,1.0,male,adult,1.0
166,1.0,male,adult,0.0
168,1.0,female,adult,1.0
169,1.0,female,adult,0.0
171,1.0,male,adult,0.0
172,1.0,male,adult,0.0
173,1.0,male,adult,0.0
174,1.0,male,adult,0.0
175,1.0,male,adult,0.0
176,1.0,female,adult,1.0
177,1.0,male,adult,1.0
178,1.0,female,adult,1.0
179,1.0,male,adult,0.0
180,1.0,female,adult,1.0
181,1.0,female,adult,1.0
182,1.0,female,adult,1.0
184,1.0,male,adult,0.0
185,1.0,male,adult,0.0
186,1.0,female,adult,1.0
188,1.0,female,adult,1.0
190,1.0,female,adult,1.0
192,1.0,female,adult,1.0
194,1.0,male,adult,0.0
195,1.0,female,kid,1.0
196,1.0,male,adult,1.0
197,1.0,male,kid,0.0
198,1.0,female,kid,1.0
199,1.0,female,adult,1.0
202,1.0,male,adult,1.0
204,1.0,female,adult,1.0
205,1.0,male,third_age,0.0
206,1.0,male,adult,0.0
207,1.0,female,adult,1.0
208,1.0,female,adult,1.0
209,1.0,male,adult,1.0
211,1.0,male,adult,0.0
212,1.0,male,adult,0.0
214,1.0,female,adult,1.0
215,1.0,male,adult,0.0
216,1.0,female,kid,1.0
217,1.0,male,third_age,0.0
220,1.0,female,adult,1.0
222,1.0,male,adult,0.0
224,1.0,male,adult,0.0
225,1.0,male,adult,0.0
228,1.0,male,kid,0.0
229,1.0,female,kid,1.0
231,1.0,male,adult,1.0
233,1.0,female,adult,1.0
235,1.0,male,adult,1.0
236,1.0,male,adult,0.0
238,1.0,female,adult,1.0
241,1.0,male,adult,0.0
243,1.0,male,adult,0.0
245,1.0,female,adult,1.0
246,1.0,male,adult,0.0
247,1.0,female,adult,1.0
248,1.0,male,adult,0.0
251,1.0,female,adult,1.0
252,1.0,male,third_age,0.0
253,1.0,female,adult,1.0
255,1.0,female,adult,1.0
258,1.0,female,adult,1.0
259,1.0,male,adult,1.0
260,1.0,female,adult,1.0
261,1.0,male,adult,1.0
263,1.0,female,adult,1.0
264,1.0,male,adult,1.0
265,1.0,male,adult,1.0
266,1.0,male,adult,0.0
268,1.0,male,adult,0.0
269,1.0,male,adult,0.0
270,1.0,female,kid,1.0
271,1.0,male,adult,1.0
272,1.0,female,adult,1.0
273,1.0,male,kid,1.0
274,1.0,male,adult,1.0
276,1.0,male,adult,0.0
277,1.0,female,adult,1.0
278,1.0,male,adult,1.0
280,1.0,male,adult,1.0
281,1.0,female,adult,1.0
283,1.0,male,adult,0.0
284,1.0,female,third_age,1.0
285,1.0,male,third_age,0.0
286,1.0,female,third_age,0.0
288,1.0,female,adult,1.0
289,1.0,female,kid,1.0
290,1.0,male,adult,0.0
292,1.0,male,adult,1.0
293,1.0,female,adult,1.0
294,1.0,male,adult,0.0
295,1.0,male,kid,1.0
296,1.0,female,adult,1.0
297,1.0,female,adult,1.0
298,1.0,male,adult,1.0
300,1.0,male,third_age,0.0
301,1.0,male,adult,0.0
303,1.0,male,third_age,0.0
307,1.0,male,adult,0.0
309,1.0,female,adult,1.0
310,1.0,male,adult,0.0
312,1.0,male,adult,0.0
313,1.0,male,adult,0.0
314,1.0,female,adult,1.0
315,1.0,female,adult,1.0
316,1.0,male,adult,0.0
317,1.0,male,adult,1.0
319,1.0,female,adult,1.0
320,1.0,male,adult,1.0
322,1.0,female,adult,1.0
323,2.0,male,adult,0.0
324,2.0,female,adult,1.0
325,2.0,male,adult,0.0
326,2.0,male,kid,0.0
327,2.0,male,adult,0.0
329,2.0,female,adult,1.0
331,2.0,male,kid,0.0
332,2.0,male,adult,0.0
333,2.0,female,adult,1.0
334,2.0,male,adult,0.0
336,2.0,male,adult,1.0
337,2.0,female,kid,1.0
338,2.0,male,adult,0.0
339,2.0,male,kid,1.0
341,2.0,female,kid,1.0
343,2.0,male,adult,1.0
344,2.0,female,kid,1.0
345,2.0,male,adult,0.0
346,2.0,male,adult,0.0
347,2.0,male,adult,0.0
349,2.0,female,adult,1.0
350,2.0,female,kid,1.0
353,2.0,female,adult,1.0
354,2.0,male,adult,0.0
355,2.0,female,adult,1.0
356,2.0,male,adult,0.0
357,2.0,male,adult,0.0
358,2.0,female,adult,1.0
359,2.0,male,kid,1.0
360,2.0,male,adult,1.0
361,2.0,female,adult,1.0
362,2.0,female,adult,1.0
364,2.0,male,kid,0.0
365,2.0,female,adult,0.0
367,2.0,male,adult,0.0
368,2.0,male,adult,0.0
369,2.0,female,adult,0.0
371,2.0,female,adult,1.0
372,2.0,male,adult,0.0
373,2.0,female,adult,1.0
374,2.0,male,adult,0.0
376,2.0,male,adult,1.0
377,2.0,female,kid,1.0
378,2.0,male,adult,0.0
381,2.0,female,adult,0.0
383,2.0,male,adult,0.0
384,2.0,male,adult,0.0
386,2.0,male,kid,0.0
387,2.0,female,adult,1.0
389,2.0,male,adult,0.0
390,2.0,male,kid,0.0
392,2.0,female,adult,1.0
393,2.0,male,adult,0.0
395,2.0,female,kid,1.0
396,2.0,female,adult,1.0
398,2.0,male,kid,1.0
399,2.0,male,adult,0.0
403,2.0,male,adult,0.0
405,2.0,male,kid,0.0
406,2.0,male,adult,0.0
407,2.0,female,adult,1.0
408,2.0,male,kid,0.0
409,2.0,male,adult,0.0
410,2.0,male,adult,0.0
412,2.0,male,adult,0.0
413,2.0,male,adult,0.0
414,2.0,male,adult,0.0
415,2.0,female,adult,1.0
416,2.0,male,kid,0.0
418,2.0,male,adult,0.0
421,2.0,male,adult,0.0
422,2.0,male,adult,0.0
424,2.0,male,adult,0.0
426,2.0,male,adult,0.0
427,2.0,male,kid,1.0
428,2.0,female,adult,1.0
429,2.0,male,adult,0.0
430,2.0,female,kid,1.0
433,2.0,male,adult,0.0
436,2.0,female,adult,1.0
437,2.0,female,adult,1.0
438,2.0,female,adult,1.0
439,2.0,male,adult,0.0
440,2.0,female,adult,1.0
444,2.0,male,adult,0.0
446,2.0,female,adult,1.0
448,2.0,male,adult,0.0
449,2.0,female,adult,1.0
450,2.0,male,adult,0.0
452,2.0,female,adult,1.0
453,2.0,male,adult,0.0
454,2.0,male,adult,1.0
455,2.0,male,third_age,0.0
456,2.0,female,adult,0.0
457,2.0,male,adult,0.0
458,2.0,female,kid,1.0
460,2.0,female,adult,1.0
461,2.0,male,adult,0.0
462,2.0,male,adult,0.0
463,2.0,male,adult,0.0
465,2.0,female,adult,1.0
470,2.0,male,adult,0.0
471,2.0,female,adult,1.0
473,2.0,male,adult,0.0
474,2.0,male,adult,0.0
477,2.0,male,adult,0.0
478,2.0,female,kid,1.0
480,2.0,male,adult,0.0
481,2.0,female,adult,1.0
482,2.0,female,kid,1.0
483,2.0,female,adult,1.0
484,2.0,female,adult,1.0
485,2.0,male,adult,0.0
486,2.0,male,adult,0.0
487,2.0,male,third_age,0.0
489,2.0,female,adult,1.0
490,2.0,female,adult,0.0
493,2.0,male,adult,0.0
494,2.0,female,adult,1.0
495,2.0,male,adult,0.0
496,2.0,male,adult,0.0
498,2.0,male,adult,0.0
500,2.0,male,adult,0.0
501,2.0,female,kid,1.0
502,2.0,female,adult,1.0
503,2.0,male,kid,1.0
504,2.0,male,adult,0.0
505,2.0,male,adult,0.0
507,2.0,male,adult,0.0
508,2.0,male,adult,0.0
509,2.0,male,adult,0.0
511,2.0,male,third_age,0.0
512,2.0,male,adult,0.0
513,2.0,female,kid,1.0
514,2.0,male,kid,1.0
515,2.0,male,kid,1.0
516,2.0,male,adult,0.0
517,2.0,male,adult,0.0
519,2.0,male,adult,0.0
520,2.0,male,adult,1.0
522,2.0,male,adult,0.0
523,2.0,male,adult,1.0
524,2.0,male,adult,1.0
526,2.0,male,adult,1.0
527,2.0,male,adult,0.0
528,2.0,male,adult,0.0
529,2.0,female,adult,1.0
530,2.0,male,kid,0.0
531,2.0,male,adult,0.0
532,2.0,male,adult,0.0
534,2.0,female,kid,1.0
535,2.0,male,adult,0.0
536,2.0,female,adult,1.0
537,2.0,male,adult,0.0
538,2.0,male,adult,1.0
539,2.0,male,adult,0.0
541,2.0,female,kid,1.0
543,2.0,male,adult,0.0
544,2.0,male,adult,0.0
545,2.0,female,adult,1.0
546,2.0,female,adult,1.0
547,2.0,male,adult,0.0
549,2.0,male,kid,1.0
553,2.0,female,adult,1.0
555,2.0,male,adult,0.0
556,2.0,male,adult,0.0
557,2.0,female,adult,1.0
558,2.0,female,kid,1.0
559,2.0,female,adult,1.0
560,2.0,female,adult,1.0
561,2.0,male,adult,0.0
562,2.0,female,adult,1.0
563,2.0,male,adult,0.0
565,2.0,male,adult,0.0
566,2.0,male,adult,0.0
567,2.0,male,adult,0.0
568,2.0,male,kid,0.0
569,2.0,male,kid,0.0
570,2.0,female,adult,1.0
571,2.0,male,adult,0.0
572,2.0,female,adult,1.0
573,2.0,female,adult,1.0
574,2.0,male,adult,0.0
576,2.0,male,adult,0.0
578,2.0,male,adult,0.0
581,2.0,male,adult,0.0
584,2.0,female,adult,1.0
585,2.0,male,adult,0.0
586,2.0,female,adult,1.0
587,2.0,male,kid,1.0
588,2.0,female,kid,1.0
589,2.0,female,adult,1.0
590,2.0,female,kid,1.0
591,2.0,female,kid,1.0
593,2.0,female,adult,1.0
594,2.0,male,third_age,0.0
595,2.0,male,adult,0.0
597,2.0,male,adult,1.0
598,2.0,female,adult,1.0
599,2.0,female,adult,0.0
600,3.0,male,adult,0.0
601,3.0,male,kid,0.0
602,3.0,male,kid,0.0
604,3.0,female,kid,1.0
608,3.0,male,adult,0.0
609,3.0,male,adult,0.0
610,3.0,female,adult,0.0
611,3.0,male,kid,1.0
612,3.0,female,kid,1.0
613,3.0,male,adult,1.0
615,3.0,male,adult,0.0
616,3.0,male,adult,0.0
620,3.0,male,adult,0.0
621,3.0,female,kid,1.0
623,3.0,female,kid,0.0
625,3.0,female,kid,1.0
627,3.0,female,kid,0.0
628,3.0,female,kid,0.0
629,3.0,male,adult,0.0
630,3.0,male,adult,1.0
633,3.0,male,adult,0.0
634,3.0,male,adult,0.0
635,3.0,male,adult,0.0
636,3.0,female,kid,0.0
637,3.0,male,adult,0.0
639,3.0,male,kid,0.0
640,3.0,male,kid,0.0
641,3.0,male,kid,1.0
643,3.0,female,kid,1.0
644,3.0,male,adult,0.0
647,3.0,female,adult,1.0
648,3.0,male,adult,0.0
650,3.0,female,kid,0.0
652,3.0,male,adult,0.0
653,3.0,female,kid,1.0
654,3.0,male,adult,0.0
655,3.0,male,adult,0.0
656,3.0,female,adult,1.0
658,3.0,female,kid,1.0
659,3.0,female,kid,1.0
661,3.0,female,kid,1.0
662,3.0,male,adult,0.0
663,3.0,male,adult,0.0
664,3.0,male,adult,1.0
665,3.0,female,kid,0.0
666,3.0,female,adult,0.0
669,3.0,male,kid,0.0
673,3.0,male,adult,0.0
674,3.0,male,adult,1.0
675,3.0,male,adult,0.0
676,3.0,male,kid,0.0
677,3.0,male,adult,0.0
678,3.0,male,kid,0.0
679,3.0,female,kid,0.0
681,3.0,female,adult,0.0
683,3.0,male,adult,0.0
684,3.0,female,adult,0.0
685,3.0,male,adult,0.0
689,3.0,male,adult,0.0
690,3.0,male,adult,0.0
691,3.0,male,adult,0.0
692,3.0,female,kid,0.0
693,3.0,male,adult,1.0
694,3.0,male,kid,0.0
697,3.0,female,adult,0.0
698,3.0,male,kid,0.0
699,3.0,male,adult,0.0
700,3.0,male,kid,0.0
701,3.0,male,kid,0.0
702,3.0,female,adult,0.0
704,3.0,male,adult,0.0
707,3.0,male,adult,0.0
708,3.0,male,adult,0.0
711,3.0,male,adult,0.0
714,3.0,male,adult,1.0
715,3.0,male,adult,0.0
716,3.0,male,adult,0.0
718,3.0,male,adult,0.0
719,3.0,male,kid,1.0
720,3.0,male,adult,0.0
721,3.0,male,adult,0.0
722,3.0,male,adult,0.0
723,3.0,male,adult,0.0
724,3.0,male,adult,0.0
726,3.0,female,adult,0.0
728,3.0,male,adult,0.0
729,3.0,male,adult,0.0
730,3.0,male,adult,0.0
734,3.0,male,kid,1.0
735,3.0,female,adult,1.0
736,3.0,male,adult,0.0
737,3.0,male,kid,0.0
738,3.0,female,kid,1.0
739,3.0,male,adult,0.0
740,3.0,male,kid,0.0
741,3.0,male,adult,0.0
742,3.0,male,adult,1.0
743,3.0,female,adult,0.0
745,3.0,female,adult,1.0
748,3.0,male,adult,0.0
751,3.0,male,adult,0.0
752,3.0,male,adult,0.0
753,3.0,male,adult,0.0
756,3.0,male,adult,0.0
757,3.0,female,adult,1.0
758,3.0,male,adult,1.0
760,3.0,male,adult,1.0
763,3.0,female,kid,1.0
769,3.0,male,adult,0.0
771,3.0,female,kid,1.0
772,3.0,male,kid,0.0
777,3.0,male,kid,1.0
780,3.0,female,adult,1.0
781,3.0,male,adult,0.0
783,3.0,male,adult,1.0
784,3.0,male,adult,0.0
785,3.0,female,adult,1.0
786,3.0,male,kid,0.0
787,3.0,male,kid,0.0
789,3.0,male,adult,0.0
792,3.0,male,kid,0.0
794,3.0,female,kid,1.0
795,3.0,male,adult,0.0
796,3.0,male,adult,0.0
797,3.0,male,adult,0.0
798,3.0,male,adult,1.0
801,3.0,male,adult,0.0
802,3.0,male,adult,0.0
803,3.0,male,adult,0.0
804,3.0,male,adult,0.0
805,3.0,male,adult,1.0
806,3.0,female,adult,0.0
807,3.0,female,kid,0.0
808,3.0,male,adult,0.0
809,3.0,male,kid,0.0
811,3.0,female,adult,0.0
812,3.0,male,adult,0.0
814,3.0,male,adult,0.0
815,3.0,male,adult,0.0
816,3.0,male,adult,0.0
818,3.0,female,kid,1.0
821,3.0,male,adult,0.0
824,3.0,male,adult,0.0
825,3.0,male,kid,0.0
826,3.0,male,kid,0.0
827,3.0,male,kid,0.0
830,3.0,male,kid,0.0
832,3.0,female,adult,0.0
835,3.0,male,adult,0.0
836,3.0,male,adult,0.0
837,3.0,male,adult,0.0
838,3.0,male,adult,0.0
839,3.0,male,kid,0.0
840,3.0,female,adult,0.0
844,3.0,male,adult,0.0
845,3.0,female,adult,1.0
846,3.0,male,adult,0.0
847,3.0,male,adult,0.0
849,3.0,male,adult,0.0
850,3.0,male,adult,0.0
851,3.0,female,adult,1.0
852,3.0,female,adult,0.0
853,3.0,male,adult,0.0
854,3.0,male,adult,0.0
855,3.0,male,kid,0.0
856,3.0,female,adult,1.0
857,3.0,male,adult,1.0
859,3.0,female,kid,0.0
860,3.0,female,adult,1.0
861,3.0,female,adult,0.0
862,3.0,female,adult,1.0
863,3.0,male,adult,0.0
864,3.0,female,adult,0.0
865,3.0,female,adult,0.0
866,3.0,female,kid,1.0
867,3.0,female,adult,1.0
869,3.0,male,adult,0.0
870,3.0,female,adult,1.0
871,3.0,male,adult,0.0
872,3.0,female,adult,1.0
873,3.0,male,adult,0.0
874,3.0,male,adult,1.0
876,3.0,male,adult,0.0
877,3.0,female,adult,0.0
878,3.0,female,adult,0.0
880,3.0,male,adult,1.0
881,3.0,male,adult,1.0
882,3.0,male,adult,0.0
883,3.0,male,adult,0.0
884,3.0,male,adult,0.0
885,3.0,male,kid,0.0
887,3.0,male,adult,1.0
888,3.0,male,adult,0.0
889,3.0,male,adult,1.0
891,3.0,male,adult,0.0
893,3.0,male,adult,0.0
894,3.0,male,kid,1.0
895,3.0,female,kid,1.0
896,3.0,male,adult,0.0
897,3.0,male,adult,0.0
898,3.0,male,kid,0.0
899,3.0,female,adult,1.0
901,3.0,female,adult,0.0
902,3.0,male,adult,0.0
903,3.0,female,adult,0.0
904,3.0,male,adult,0.0
905,3.0,male,adult,1.0
906,3.0,male,adult,0.0
907,3.0,female,adult,0.0
908,3.0,female,adult,0.0
909,3.0,male,adult,1.0
910,3.0,male,kid,0.0
911,3.0,male,adult,0.0
914,3.0,male,adult,0.0
915,3.0,male,adult,0.0
916,3.0,female,kid,1.0
917,3.0,male,adult,1.0
918,3.0,male,adult,0.0
919,3.0,male,kid,0.0
920,3.0,male,adult,0.0
922,3.0,female,adult,1.0
923,3.0,female,adult,1.0
924,3.0,male,adult,0.0
925,3.0,male,adult,0.0
926,3.0,male,adult,1.0
927,3.0,male,adult,0.0
929,3.0,male,adult,0.0
930,3.0,male,adult,0.0
932,3.0,female,adult,0.0
933,3.0,male,adult,0.0
934,3.0,female,kid,1.0
935,3.0,male,adult,1.0
936,3.0,female,adult,1.0
940,3.0,male,adult,0.0
942,3.0,male,adult,0.0
944,3.0,male,adult,0.0
945,3.0,male,adult,1.0
947,3.0,female,adult,1.0
948,3.0,male,adult,0.0
949,3.0,male,adult,1.0
950,3.0,male,adult,0.0
951,3.0,male,adult,0.0
953,3.0,male,adult,1.0
955,3.0,female,adult,0.0
956,3.0,female,adult,0.0
958,3.0,female,adult,0.0
959,3.0,male,adult,0.0
960,3.0,male,adult,0.0
961,3.0,female,adult,0.0
962,3.0,male,adult,0.0
963,3.0,male,adult,0.0
964,3.0,male,adult,0.0
965,3.0,male,adult,0.0
966,3.0,female,adult,0.0
968,3.0,male,adult,0.0
969,3.0,female,adult,0.0
970,3.0,male,adult,1.0
971,3.0,male,adult,0.0
972,3.0,male,adult,0.0
973,3.0,male,adult,0.0
974,3.0,male,adult,0.0
975,3.0,female,adult,0.0
978,3.0,male,adult,1.0
979,3.0,male,adult,0.0
980,3.0,female,adult,1.0
981,3.0,male,adult,1.0
982,3.0,male,adult,0.0
983,3.0,male,adult,0.0
984,3.0,female,adult,1.0
985,3.0,male,adult,1.0
986,3.0,male,adult,0.0
987,3.0,female,adult,0.0
988,3.0,male,adult,0.0
991,3.0,male,adult,1.0
993,3.0,female,adult,1.0
994,3.0,male,adult,0.0
995,3.0,male,adult,0.0
996,3.0,male,adult,0.0
997,3.0,female,adult,1.0
999,3.0,female,adult,1.0
1000,3.0,male,adult,1.0
1001,3.0,female,adult,1.0
1002,3.0,female,adult,1.0
1005,3.0,male,adult,0.0
1009,3.0,male,adult,0.0
1010,3.0,male,adult,0.0
1012,3.0,female,adult,0.0
1014,3.0,female,adult,0.0
1017,3.0,male,adult,1.0
1019,3.0,male,adult,0.0
1020,3.0,male,adult,0.0
1023,3.0,female,adult,1.0
1024,3.0,male,adult,0.0
1025,3.0,male,kid,1.0
1026,3.0,female,adult,1.0
1027,3.0,male,adult,0.0
1028,3.0,female,adult,1.0
1029,3.0,male,adult,0.0
1033,3.0,male,adult,1.0
1035,3.0,male,adult,1.0
1036,3.0,female,adult,1.0
1037,3.0,female,adult,1.0
1038,3.0,male,adult,0.0
1039,3.0,female,adult,1.0
1040,3.0,female,adult,1.0
1041,3.0,male,adult,0.0
1042,3.0,female,adult,1.0
1043,3.0,female,adult,1.0
1045,3.0,male,kid,0.0
1046,3.0,male,adult,0.0
1047,3.0,female,kid,1.0
1048,3.0,female,kid,1.0
1049,3.0,male,adult,1.0
1050,3.0,female,kid,1.0
1051,3.0,male,adult,0.0
1052,3.0,male,adult,0.0
1056,3.0,male,kid,1.0
1057,3.0,female,kid,1.0
1058,3.0,female,adult,0.0
1059,3.0,male,adult,0.0
1060,3.0,female,kid,1.0
1063,3.0,male,adult,0.0
1064,3.0,male,adult,1.0
1065,3.0,male,adult,0.0
1066,3.0,male,adult,0.0
1068,3.0,male,third_age,0.0
1069,3.0,male,adult,0.0
1072,3.0,male,adult,0.0
1073,3.0,male,adult,0.0
1074,3.0,male,adult,0.0
1075,3.0,male,adult,0.0
1076,3.0,female,adult,0.0
1077,3.0,female,adult,1.0
1080,3.0,male,adult,1.0
1081,3.0,female,adult,1.0
1082,3.0,male,kid,1.0
1084,3.0,male,adult,0.0
1086,3.0,female,adult,0.0
1087,3.0,male,adult,0.0
1088,3.0,male,adult,1.0
1089,3.0,male,adult,0.0
1090,3.0,female,adult,0.0
1092,3.0,male,adult,0.0
1093,3.0,male,kid,0.0
1094,3.0,female,adult,1.0
1095,3.0,female,adult,0.0
1096,3.0,male,kid,0.0
1097,3.0,male,kid,0.0
1098,3.0,female,kid,0.0
1102,3.0,male,kid,0.0
1103,3.0,male,kid,0.0
1104,3.0,male,kid,0.0
1106,3.0,female,adult,0.0
1107,3.0,male,adult,0.0
1108,3.0,male,kid,0.0
1109,3.0,male,adult,0.0
1110,3.0,male,adult,0.0
1111,3.0,male,kid,0.0
1112,3.0,female,kid,0.0
1115,3.0,male,adult,0.0
1116,3.0,male,adult,0.0
1117,3.0,male,adult,0.0
1118,3.0,male,adult,0.0
1121,3.0,male,adult,1.0
1122,3.0,female,adult,1.0
1123,3.0,female,adult,1.0
1124,3.0,female,adult,0.0
1125,3.0,male,adult,0.0
1126,3.0,female,adult,0.0
1127,3.0,male,kid,0.0
1128,3.0,male,adult,0.0
1129,3.0,male,adult,0.0
1130,3.0,female,kid,0.0
1131,3.0,male,adult,1.0
1132,3.0,male,adult,0.0
1133,3.0,male,kid,0.0
1135,3.0,male,adult,0.0
1136,3.0,female,adult,0.0
1137,3.0,male,adult,0.0
1138,3.0,male,adult,0.0
1140,3.0,male,adult,0.0
1141,3.0,male,kid,0.0
1142,3.0,male,kid,0.0
1144,3.0,male,kid,0.0
1145,3.0,male,kid,0.0
1147,3.0,female,adult,0.0
1148,3.0,male,adult,0.0
1150,3.0,male,adult,0.0
1151,3.0,female,adult,0.0
1152,3.0,male,adult,0.0
1153,3.0,female,adult,0.0
1154,3.0,male,adult,0.0
1155,3.0,male,adult,0.0
1156,3.0,female,kid,0.0
1157,3.0,male,kid,0.0
1158,3.0,female,adult,0.0
1159,3.0,female,adult,1.0
1161,3.0,male,kid,0.0
1162,3.0,male,adult,1.0
1163,3.0,male,adult,0.0
1164,3.0,male,adult,0.0
1165,3.0,male,adult,0.0
1166,3.0,male,adult,0.0
1170,3.0,male,adult,0.0
1171,3.0,male,kid,0.0
1172,3.0,female,adult,0.0
1173,3.0,female,adult,0.0
1175,3.0,female,adult,0.0
1176,3.0,male,adult,0.0
1177,3.0,male,adult,0.0
1178,3.0,male,adult,0.0
1179,3.0,male,adult,0.0
1180,3.0,female,adult,0.0
1181,3.0,male,adult,0.0
1182,3.0,female,adult,1.0
1183,3.0,male,adult,0.0
1184,3.0,male,adult,0.0
1186,3.0,male,adult,0.0
1188,3.0,female,adult,1.0
1189,3.0,female,kid,1.0
1190,3.0,male,adult,1.0
1191,3.0,male,adult,0.0
1196,3.0,male,adult,1.0
1197,3.0,male,adult,0.0
1198,3.0,female,adult,1.0
1199,3.0,male,adult,0.0
1200,3.0,male,adult,0.0
1201,3.0,male,adult,0.0
1202,3.0,male,adult,0.0
1203,3.0,male,adult,0.0
1204,3.0,male,adult,0.0
1206,3.0,male,kid,0.0
1207,3.0,male,kid,0.0
1209,3.0,female,kid,0.0
1210,3.0,male,adult,0.0
1212,3.0,male,adult,0.0
1213,3.0,male,adult,0.0
1214,3.0,male,adult,0.0
1218,3.0,male,adult,0.0
1219,3.0,male,adult,0.0
1220,3.0,male,adult,0.0
1221,3.0,male,adult,0.0
1222,3.0,male,adult,0.0
1223,3.0,female,adult,1.0
1224,3.0,male,adult,0.0
1226,3.0,male,kid,0.0
1228,3.0,male,adult,1.0
1229,3.0,male,adult,0.0
1230,3.0,female,kid,0.0
1232,3.0,male,kid,1.0
1234,3.0,male,adult,0.0
1237,3.0,male,adult,0.0
1239,3.0,male,adult,0.0
1240,3.0,male,kid,1.0
1241,3.0,male,adult,0.0
1242,3.0,male,adult,0.0
1243,3.0,male,adult,0.0
1244,3.0,female,kid,1.0
1247,3.0,female,adult,1.0
1248,3.0,male,adult,0.0
1250,3.0,male,adult,0.0
1251,3.0,male,adult,0.0
1253,3.0,male,adult,0.0
1254,3.0,male,adult,1.0
1255,3.0,male,adult,0.0
1256,3.0,male,kid,1.0
1257,3.0,female,kid,1.0
1258,3.0,female,adult,1.0
1259,3.0,male,adult,0.0
1260,3.0,female,kid,1.0
1261,3.0,female,third_age,1.0
1263,3.0,male,kid,0.0
1264,3.0,male,adult,0.0
1265,3.0,female,kid,0.0
1266,3.0,male,adult,0.0
1271,3.0,male,adult,0.0
1275,3.0,male,kid,0.0
1277,3.0,male,adult,1.0
1284,3.0,male,adult,0.0
1285,3.0,male,adult,0.0
1286,3.0,female,adult,1.0
1287,3.0,male,adult,0.0
1290,3.0,female,adult,1.0
1293,3.0,male,adult,0.0
1297,3.0,male,adult,0.0
1300,3.0,female,kid,1.0
1301,3.0,male,adult,0.0
1302,3.0,male,adult,0.0
1303,3.0,male,adult,0.0
1306,3.0,male,adult,0.0
1307,3.0,male,adult,0.0
1308,3.0,male,adult,0.0
